epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,465.011,1.57658,1.13606,0.9494,0.71199,0.55139,0.61361,0.42931,1.52778,1.07126,0.95706,0.000468665,0.000468665,0.000468665
43,475.287,1.54415,1.1083,0.94519,0.66823,0.55193,0.57464,0.40838,1.5102,1.08695,0.95109,0.000465755,0.000465755,0.000465755
44,485.667,1.54396,1.11504,0.94437,0.64898,0.56337,0.59794,0.41538,1.54828,1.08446,0.96147,0.000462844,0.000462844,0.000462844
45,495.922,1.56213,1.12339,0.94462,0.6451,0.59246,0.63129,0.44885,1.52542,1.05753,0.95561,0.000459934,0.000459934,0.000459934
46,506.412,1.56461,1.10652,0.94294,0.6876,0.57748,0.61718,0.4109,1.56685,1.06282,0.96543,0.000457023,0.000457023,0.000457023
47,516.489,1.55498,1.0872,0.94393,0.68424,0.58472,0.62903,0.43449,1.53112,1.06393,0.9548,0.000454112,0.000454112,0.000454112
48,527.111,1.55896,1.09765,0.9456,0.68534,0.58077,0.62393,0.43252,1.52505,1.04378,0.95429,0.000451202,0.000451202,0.000451202
49,537.252,1.56018,1.07233,0.94743,0.75411,0.56355,0.63481,0.45048,1.50619,1.02744,0.95346,0.000448291,0.000448291,0.000448291
50,547.552,1.55807,1.07961,0.94601,0.70919,0.60087,0.65622,0.472,1.46699,1.00931,0.94156,0.000445381,0.000445381,0.000445381
51,557.684,1.51154,1.05828,0.93221,0.70774,0.6043,0.65429,0.46125,1.49916,1.03705,0.94909,0.00044247,0.00044247,0.00044247
52,567.639,1.50961,1.04878,0.94007,0.77414,0.60976,0.67734,0.48327,1.48083,0.99702,0.94406,0.000439559,0.000439559,0.000439559
53,577.916,1.49575,1.0349,0.93227,0.70068,0.61121,0.6651,0.45725,1.50168,1.00337,0.94555,0.000436649,0.000436649,0.000436649
54,588.288,1.50001,1.02591,0.92661,0.78542,0.5795,0.66685,0.47561,1.46435,0.99714,0.94487,0.000433738,0.000433738,0.000433738
55,598.466,1.52416,1.04382,0.93968,0.75911,0.60011,0.66745,0.46245,1.52476,1.00317,0.95143,0.000430828,0.000430828,0.000430828
56,608.791,1.52352,1.04185,0.93625,0.77031,0.59895,0.67562,0.476,1.46608,0.9877,0.94029,0.000427917,0.000427917,0.000427917
57,619.317,1.5146,1.03882,0.93132,0.77256,0.60927,0.68044,0.48334,1.48091,0.98173,0.94515,0.000425006,0.000425006,0.000425006
58,629.401,1.49175,1.02221,0.92927,0.7684,0.60455,0.67372,0.4854,1.44987,0.95924,0.93983,0.000422096,0.000422096,0.000422096
59,639.663,1.52217,1.02886,0.92948,0.78237,0.60824,0.68529,0.47112,1.50886,0.96541,0.95056,0.000419185,0.000419185,0.000419185
60,650.057,1.51534,1.02067,0.93122,0.76994,0.60003,0.67803,0.48764,1.46399,0.96785,0.93912,0.000416275,0.000416275,0.000416275
61,660.482,1.51954,1.0169,0.93111,0.74145,0.63291,0.68466,0.48908,1.4575,0.96576,0.93853,0.000413364,0.000413364,0.000413364
62,670.77,1.51329,1.01897,0.93027,0.78629,0.6167,0.68429,0.49756,1.46086,0.96989,0.94026,0.000410453,0.000410453,0.000410453
63,680.981,1.48732,0.99917,0.92229,0.75247,0.63934,0.69764,0.49595,1.44909,0.95229,0.93242,0.000407543,0.000407543,0.000407543
64,691.17,1.44788,0.98374,0.92147,0.78883,0.62226,0.69438,0.49488,1.45114,0.95456,0.93731,0.000404632,0.000404632,0.000404632
65,701.277,1.47389,0.98662,0.92397,0.75889,0.63739,0.70288,0.50017,1.43731,0.93488,0.93357,0.000401722,0.000401722,0.000401722
66,711.477,1.44938,0.97687,0.92328,0.74929,0.64307,0.69568,0.49234,1.46067,0.94538,0.9368,0.000398811,0.000398811,0.000398811
67,721.695,1.4923,0.99514,0.92239,0.75134,0.63479,0.70117,0.49176,1.45869,0.94212,0.93972,0.0003959,0.0003959,0.0003959
68,731.85,1.48085,0.98848,0.92115,0.80894,0.63696,0.70252,0.50719,1.43005,0.93198,0.93256,0.00039299,0.00039299,0.00039299
69,741.975,1.46503,0.97064,0.91958,0.77482,0.6462,0.70231,0.49935,1.47225,0.93993,0.93838,0.000390079,0.000390079,0.000390079
70,752.558,1.47702,0.96411,0.92211,0.75261,0.66162,0.71425,0.50968,1.42743,0.92619,0.93143,0.000387169,0.000387169,0.000387169
71,762.769,1.46772,0.96029,0.91948,0.80194,0.6216,0.70374,0.50944,1.43188,0.94054,0.93138,0.000384258,0.000384258,0.000384258
72,772.632,1.42413,0.94732,0.91813,0.77066,0.65536,0.7096,0.50575,1.44847,0.92299,0.93417,0.000381347,0.000381347,0.000381347
73,782.749,1.45111,0.9605,0.92049,0.78943,0.65322,0.71424,0.52205,1.41313,0.90352,0.92627,0.000378437,0.000378437,0.000378437
74,792.859,1.44139,0.95362,0.91153,0.76699,0.67402,0.72337,0.52458,1.40629,0.90827,0.92771,0.000375526,0.000375526,0.000375526
75,803.149,1.44944,0.94608,0.92008,0.80283,0.6602,0.7219,0.51289,1.42179,0.91482,0.93225,0.000372616,0.000372616,0.000372616
76,813.517,1.4651,0.95472,0.91875,0.79092,0.6741,0.73177,0.52381,1.4097,0.90975,0.92547,0.000369705,0.000369705,0.000369705
77,823.694,1.45829,0.94926,0.91705,0.81014,0.65513,0.72022,0.51905,1.42152,0.8965,0.92843,0.000366794,0.000366794,0.000366794
78,833.821,1.42556,0.9328,0.91461,0.79288,0.63959,0.71027,0.51886,1.42002,0.89426,0.92943,0.000363884,0.000363884,0.000363884
79,843.976,1.46129,0.9494,0.91858,0.80696,0.66644,0.7356,0.53175,1.41302,0.88553,0.92826,0.000360973,0.000360973,0.000360973
80,854.282,1.44767,0.94129,0.91555,0.76587,0.65404,0.71183,0.51182,1.4402,0.90713,0.93261,0.000358063,0.000358063,0.000358063
81,864.533,1.43749,0.93262,0.91123,0.77879,0.67103,0.72413,0.51722,1.4057,0.88439,0.92729,0.000355152,0.000355152,0.000355152
82,874.683,1.42766,0.92491,0.91573,0.80865,0.67361,0.73474,0.52834,1.39488,0.87971,0.92465,0.000352241,0.000352241,0.000352241
83,884.759,1.42015,0.91999,0.91196,0.8075,0.66847,0.73319,0.51898,1.42461,0.87693,0.92783,0.000349331,0.000349331,0.000349331
84,895.105,1.43802,0.92332,0.90937,0.81075,0.65912,0.73854,0.53915,1.39143,0.87256,0.922,0.00034642,0.00034642,0.00034642
85,905.46,1.43633,0.91673,0.91095,0.77263,0.67774,0.73644,0.52754,1.41487,0.87849,0.92762,0.00034351,0.00034351,0.00034351
86,915.36,1.42069,0.91615,0.91265,0.83076,0.65857,0.73508,0.53783,1.37717,0.85288,0.91745,0.000340599,0.000340599,0.000340599
87,925.593,1.43311,0.91331,0.91104,0.80912,0.6689,0.7385,0.537,1.39054,0.86468,0.92186,0.000337688,0.000337688,0.000337688
88,935.49,1.42396,0.90321,0.90986,0.76531,0.68813,0.73705,0.52603,1.4027,0.85169,0.9232,0.000334778,0.000334778,0.000334778
89,945.759,1.40764,0.89534,0.9042,0.82017,0.67741,0.74421,0.54237,1.37441,0.84649,0.91955,0.000331867,0.000331867,0.000331867
90,955.706,1.40056,0.89572,0.9061,0.77481,0.68519,0.73082,0.53488,1.38607,0.87116,0.92225,0.000328957,0.000328957,0.000328957
91,966.055,1.4333,0.91988,0.91084,0.78566,0.67968,0.73171,0.5293,1.39113,0.86747,0.92334,0.000326046,0.000326046,0.000326046
92,976.522,1.41403,0.9012,0.90731,0.80993,0.69022,0.74632,0.54802,1.38409,0.86225,0.92085,0.000323135,0.000323135,0.000323135
