epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8693,2.20594,4.3479,1.21199,0.01686,0.11875,0.03185,0.01713,2.08032,inf,1.06458,0.000191739,0.000191739,0.000191739
2,38.6168,2.20446,3.63557,1.10354,0.04717,0.14713,0.06959,0.0392,2.09891,3.51432,1.06227,0.000349353,0.000349353,0.000349353
3,47.4512,2.1796,3.0126,1.08875,0.49527,0.10835,0.09962,0.05526,2.06424,2.78349,1.06778,0.000468159,0.000468159,0.000468159
4,56.5346,2.11451,2.57557,1.07249,0.57457,0.1352,0.10634,0.05646,2.06547,2.15981,1.06575,0.000413364,0.000413364,0.000413364
5,65.7963,2.06961,2.34737,1.06961,0.53083,0.15438,0.1322,0.07607,1.93972,2.03017,1.05786,0.000355152,0.000355152,0.000355152
6,75.6617,2.03892,2.1881,1.06211,0.53935,0.16482,0.13148,0.07678,1.93437,1.98196,1.05632,0.00029694,0.00029694,0.00029694
7,85.6676,1.9704,2.03964,1.04372,0.30753,0.20284,0.15666,0.09457,1.88522,1.87223,1.03758,0.000238728,0.000238728,0.000238728
8,94.9266,1.95386,2.01334,1.03585,0.3835,0.22564,0.16926,0.10241,1.86055,1.78091,1.03809,0.000180516,0.000180516,0.000180516
9,104.394,1.91364,1.94901,1.03152,0.40758,0.23358,0.18412,0.11603,1.82544,1.73605,1.02263,0.000122304,0.000122304,0.000122304
10,113.893,1.88362,1.90433,1.01664,0.3265,0.24044,0.19453,0.12303,1.80725,1.7134,1.01629,6.4092e-05,6.4092e-05,6.4092e-05
